name,latitude,longitude
Huntly Power Station,-37.5439,175.153
Drakelow Power Station,52.7736,-1.65681
Heilbronn Power Station,49.1772,9.20639
Srisailam Dam,16.0869,78.8972
Cym Dyli hydro-electric power station,53.0659,-4.0115
Ghazi-Barotha Hydropower Project,33.78,72.2597
Prototype Fast Breeder Reactor,12.5531,80.1733
Kwinana Power Station,-32.1986,115.775
Alinta 'Walkaway' Wind Farm,-28.8981,114.869
Albany Wind Farm,-35.0581,117.783
Butlers Gorge Power Station,-42.2669,146.262
Catagunya Power Station,-42.4522,146.598
Cluny Power Station,-42.5064,146.681
Woolnorth Wind Farm,-40.685,144.717
Bratsk Dam,56.2861,101.786
Moni Power Station,34.7106,33.1825
Vasilikos Power Station,34.7286,33.29
Cethana Power Station,-41.4797,146.134
Devils Gate Power Station,-41.3503,146.263
Paloona Power Station,-41.2831,146.249
Challicum Hills Wind Farm,-37.38,143.11
Starfish Hill Wind Farm,-35.5843,138.14
Cathedral Rocks Wind Farm,-34.85,135.583
La Crosse Boiling Water Reactor,43.5601,-91.2315
Temelín Nuclear Power Station,49.18,14.3761
Boxberg Power Station,51.4161,14.5647
Tušimice Power Station,50.3811,13.3392
Prunéřov Power Station,50.418,13.259
Altbach Power Station,48.7175,9.375
Nathpa Jhakri Dam,31.5639,77.9803
Ngawha Power Station,-35.4175,173.852
Bergkamen Power Station,51.6369,7.61889
Bexbach Power Station,49.3631,7.23778
Großkrotzenburg Power Station,50.0881,8.95222
Frimmersdorf Power Station,51.0564,6.57694
Irsching Power Station,48.7675,11.58
Metsamor Nuclear Power Plant,40.1808,44.1489
Allington Quarry Waste Management Facility,51.2928,0.4912
Isle of Man Incinerator,54.1423,-4.5305
Leningrad Nuclear Power Plant,59.8472,29.0436
Bolton Incinerator,53.5661,-2.4091
Sheffield Energy Recovery Facility (ERF),53.3866,-1.4511
SELCHP,51.4856,-0.0484
Hinkley Point B Nuclear Power Station,51.209,-3.12748
Hinkley Point A nuclear power station,51.2087,-3.13374
Sizewell A nuclear power station,52.215,1.61972
Tufts Cove Generating Station,44.6766,-63.596
Arklow Bank Wind Park,52.789,-5.949
London Array Offshore Wind Farm,51.6439,1.55361
Batang Ai Dam,1.14722,111.874
Rybnik Power Station,50.1333,18.5333
Hungry Horse Dam,48.3417,-114.014
Thanet Offshore Wind Farm,51.4306,1.6331
Yonki Dam,-6.25139,145.98
Borssele Nuclear Power Station,51.4308,3.71833
Dodewaard nuclear power plant,51.8997,5.68611
Monroe Power Plant,41.8892,-83.3456
Huxley Hill Wind Farm,-39.9413,143.874
Laverton North Power Station,-37.8411,144.789
Belews Creek Power Station,36.2814,-80.0603
G. G. Allen Steam Station,35.1903,-81.0083
Kudankulam,8.16889,77.7125
Kaptai Dam,22.4945,92.2254
Navajo Dam,36.8003,-107.613
Kuchurgan power station,46.6342,29.9389
Balti Power Plant
Greater Gabbard Wind Farm,51.88,1.94
Portishead power station,51.4912,-2.75505
Newlincs EfW facility,53.6063,-0.1439
Fawley Power Station,50.8167,-1.32888
Krško Nuclear Power Plant,45.9383,15.5156
Volga Hydroelectric Power Station,48.8261,44.6719
Saratov Hydroelectric Station,52.0531,47.755
Thorpe Marsh Power Station,53.5806,-1.08534
Teesside power station,54.5768,-1.12042
Mochovce Nuclear Power Plant,48.2639,18.4569
Mildura Solar Concentrator Power Station,-34.466,142.183
Carolinas-Virginia Tube Reactor,34.2625,-81.3292
Peterhead Power Station,57.4772,-1.78888
Waldpolenz Solar Park,51.3283,12.6561
Comanche Peak Nuclear Power Plant,32.2983,-97.785
Lake Bonney Wind Farm,-37.76,140.4
Eggborough power station,53.7116,-1.1269
Dagenham Wind Farm,51.5219,0.151111
Altamont Pass Wind Farm,37.7325,-121.652
Tehachapi Pass Wind Farm,35.1022,-118.283
San Gorgonio Pass Wind Farm,33.9,-116.583
Horse Hollow Wind Energy Center,32.19,-100.03
Thunder Bay Generating Station,48.36,-89.22
Toktogul Dam,41.6571,72.6361
Megalopoli Power Plant,37.4177,22.1075
Mintia-Deva Power Plant,45.9133,22.8256
Pocking Solar Park,48.3678,13.2986
Nellis Solar Power Plant,36.2583,-115.053
Te Rere Hau Wind Farm,-40.3883,175.724
PS10 Solar Power Plant,37.4422,-6.25417
Cottam power station,53.304,-0.7815
AVR reactor,50.9031,6.42111
Gibson Generating Station,38.3719,-87.7672
Wave Hub,50.3111,-5.525
Kawerau Power Station,-38.0631,176.727
Andasol Solar Power Station,37.2285,-3.06854
Kurpsai Dam,41.4989,72.3642
Hallett Wind Farm,-33.3678,138.729
Montalto di Castro Nuclear Power Plant,42.3588,11.5314
Blood Hill wind farm,52.7119,1.66694
King Mountain Wind Farm,31.2378,-102.238
Lemoniz Nuclear Power Plant,43.4333,-2.8725
Trillo Nuclear Power Plant,40.7011,-2.62194
Berkeley nuclear power station,51.6925,-2.49361
Oldbury Nuclear Power Station,51.6489,-2.57083
Almaraz Nuclear Power Plant,39.8081,-5.69694
Ascó Nuclear Power Plant,41.2,0.569444
Cofrentes Nuclear Power Plant,39.2167,-1.05
Nuclear Power Plant,42.7753,-3.20729
Vandellòs Nuclear Power Plant,40.9514,0.866667
Kogan Creek Power Station,-26.9164,150.749
Yellowtail Dam,45.3067,-107.958
Nysted Wind Farm,54.55,11.71
Roscoe Wind Farm,32.2644,-100.344
Boundary Dam,48.9872,-117.348
Edmonton Incinerator,51.6158,-0.0414
Supa Dam,15.2761,74.5267
Atlantic Array Offshore Wind Farm,51.2719,-3.66194
Pa Sak Cholasit Dam,14.8614,101.066
Bui Dam,8.27833,-2.23583
Atikokan Generating Station,48.8381,-91.5708
Zaporizhzhia thermal power station,47.5086,34.6256
Ekibastuz GRES-1,51.8864,75.3767
Zuivska power station,48.0347,38.285
Kirishi Power Station,59.4858,32.0489
Peetz Table Wind Energy Center,40.9508,-103.155
Intrepid Wind Farm,42.5533,-95.3211
Mihama Nuclear Power Plant,35.7035,135.964
Hamaoka Nuclear Power Plant,34.6236,138.143
Onagawa Nuclear Power Plant,38.4011,141.5
Ikata Nuclear Power Plant,33.4908,132.311
Auburn Dam,38.8819,-121.062
Tomari Nuclear Power Plant,43.0361,140.512
Higashidōri Nuclear Power Plant,41.1881,141.39
Fukushima Daiichi Nuclear Power Plant,37.423,141.033
Fukushima Daini Nuclear Power Plant,37.3164,141.026
Tōkai Nuclear Power Plant,36.4664,140.607
Kashiwazaki-Kariwa Nuclear Power Plant,37.4283,138.602
Shika Nuclear Power Plant,37.0611,136.726
